SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL80001,0,5,0,0,3,0,0,0,0,8,5,5,8,6,13,3,0,0,0,40
SAL80002,0,4,0,0,7,3,0,0,0,14,23,7,11,0,13,13,0,0,0,67
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,3,0,3,5,0,0,0,6,4,0,3,0,18
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,7,0,0,0,0,0,0,0,7,6,7,0,0,0,4,0,0,0,17
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,3,3,4,0,0,0,0,0,10,5,15,17,15,11,0,0,0,0,63
SAL80009,0,0,0,0,0,3,0,0,0,3,8,3,3,0,7,6,0,0,0,27
SAL80010,0,17,14,4,0,0,0,0,0,35,4,74,46,8,12,5,0,3,4,156
SAL80011,0,0,0,0,0,4,5,0,0,9,0,0,0,5,0,4,5,0,0,14
SAL80012,0,0,0,0,0,0,5,0,0,5,9,9,20,5,10,16,12,0,0,81
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,4,0,0,0,0,4,23,9,7,18,6,8,3,0,3,77
SAL80015,0,0,0,0,3,0,3,0,0,6,4,6,6,5,14,12,13,0,0,60
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,4,478,27,3,0,0,0,0,0,512,6,2509,267,51,7,0,0,0,0,2840
SAL80018,49,41,32,41,32,46,27,20,27,315,891,688,603,694,736,690,515,311,250,5378
SAL80019,77,54,58,48,48,17,11,9,0,322,1383,886,784,957,1062,562,316,139,34,6123
SAL80020,29,19,15,19,15,13,19,9,4,142,509,308,270,345,340,339,241,197,62,2611
SAL80021,66,42,53,45,24,18,4,11,0,263,1077,697,754,772,773,591,271,128,29,5092
SAL80022,21,19,68,47,45,25,26,13,0,264,137,165,518,292,262,241,233,87,12,1947
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL80024,49,91,183,74,46,33,16,16,13,521,737,1556,3216,1209,592,410,324,272,184,8500
SAL80025,135,59,52,88,43,25,11,4,0,417,2132,892,1150,1603,890,345,222,92,13,7339
SAL80026,46,20,24,27,39,20,12,0,6,194,730,482,514,536,546,502,336,157,43,3846
SAL80027,15,84,190,66,35,18,23,5,3,439,334,1162,2572,1028,471,391,263,127,46,6394
SAL80028,37,96,82,40,28,25,20,5,9,342,787,1902,1970,973,574,472,437,265,137,7517
SAL80029,80,47,38,50,33,33,26,27,11,345,1126,701,810,734,759,835,465,197,101,5728
SAL80030,38,331,135,53,62,49,33,15,11,727,701,2132,1065,662,674,583,406,227,115,6565
SAL80031,5,3,5,7,5,10,3,0,0,38,20,19,17,24,16,22,3,4,0,125
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL80033,94,29,54,64,44,20,14,0,0,319,1673,689,1211,1472,717,423,226,56,13,6480
SAL80034,22,25,10,19,11,17,18,18,3,143,520,313,152,351,431,390,381,273,62,2873
SAL80035,55,33,34,23,36,12,11,7,0,211,649,331,495,505,391,293,241,111,30,3046
SAL80036,20,20,24,20,16,18,7,8,0,133,431,303,503,405,329,269,202,174,54,2670
SAL80037,71,54,53,38,30,31,21,9,0,307,1098,620,715,710,639,793,496,163,24,5258
SAL80038,12,320,140,50,22,21,11,6,6,588,151,1810,1452,525,351,275,184,71,23,4842
SAL80039,49,49,22,30,41,26,15,13,5,250,1019,715,637,681,831,692,349,145,41,5110
SAL80040,35,16,31,24,25,17,13,13,5,179,509,267,374,443,445,327,295,224,73,2957
SAL80041,44,36,62,34,20,7,12,3,0,218,1172,552,1261,1031,460,223,113,39,11,4862
SAL80042,52,25,33,41,21,9,6,6,4,197,1195,447,863,1057,552,284,218,140,38,4794
SAL80043,43,31,23,33,41,30,19,17,4,241,1090,612,593,783,780,682,460,366,196,5562
SAL80044,25,44,32,14,30,27,28,10,4,214,522,382,254,379,445,372,362,258,141,3115
SAL80045,24,20,18,24,14,4,0,0,0,104,724,256,664,668,245,129,60,15,0,2761
SAL80046,26,38,49,22,10,14,6,5,0,170,425,613,935,485,341,251,128,80,35,3293
SAL80047,34,42,48,46,20,32,15,7,5,249,769,565,751,775,519,374,293,179,74,4299
SAL80048,22,23,12,20,30,29,17,14,0,167,664,421,377,463,519,389,301,209,59,3402
SAL80049,90,66,45,43,68,39,18,9,0,378,1703,944,857,1227,1128,759,435,174,40,7267
SAL80050,57,46,32,35,37,28,17,10,0,262,1130,651,774,799,760,596,577,188,49,5524
SAL80051,14,9,13,3,4,23,16,5,0,87,578,335,235,419,402,465,422,122,28,3006
SAL80052,33,24,22,20,32,17,27,24,39,238,683,435,372,455,512,431,334,369,191,3782
SAL80053,48,20,31,23,25,27,10,8,6,198,694,302,377,478,466,294,287,248,82,3228
SAL80054,43,19,43,34,32,28,23,9,6,237,823,537,695,681,557,674,514,231,69,4781
SAL80055,43,27,20,30,19,15,16,9,5,184,770,436,479,525,487,406,359,177,30,3669
SAL80056,56,45,40,31,31,17,9,4,0,233,1185,554,468,901,759,313,184,59,11,4434
SAL80057,7,13,10,10,14,12,13,11,5,95,203,187,277,187,282,270,239,149,36,1830
SAL80058,72,63,116,65,37,10,15,4,0,382,1511,975,1938,1484,864,409,222,58,14,7475
SAL80059,25,8,10,22,13,6,5,5,0,94,424,247,198,310,289,243,303,99,16,2129
SAL80060,0,0,0,0,0,0,4,0,0,4,0,5,16,13,11,9,3,0,0,57
SAL80061,16,21,23,31,27,32,27,26,4,207,766,353,350,583,485,390,342,301,140,3710
SAL80062,39,12,19,25,20,19,10,0,0,144,545,317,366,399,342,403,247,65,27,2711
SAL80063,50,25,33,25,18,19,21,10,0,201,703,320,476,550,384,347,422,145,27,3374
SAL80064,92,47,49,46,52,46,36,35,27,430,1530,958,1093,996,1123,1115,604,336,138,7893
SAL80065,33,19,31,25,24,15,13,0,0,160,661,327,425,455,352,383,378,135,32,3148
SAL80066,27,23,57,21,12,24,24,33,18,239,456,453,1045,591,405,412,394,276,105,4137
SAL80067,51,37,51,43,40,39,15,12,6,294,692,608,1095,708,720,638,448,261,157,5327
SAL80068,89,74,121,79,63,31,14,13,0,484,1377,1252,2390,1413,993,625,360,148,33,8591
SAL80069,33,17,26,31,31,19,18,7,4,186,676,354,337,476,520,376,241,167,87,3234
SAL80070,0,0,0,0,0,3,5,0,0,8,54,35,16,28,55,41,47,26,6,308
SAL80071,95,63,94,75,49,17,6,6,0,405,1889,1107,1739,1617,1074,481,228,89,19,8243
SAL80072,21,34,26,15,22,19,11,8,0,156,489,377,375,353,412,338,336,260,66,3006
SAL80073,49,24,18,29,23,17,9,3,3,175,664,370,481,489,439,324,275,238,46,3326
SAL80074,48,20,22,12,23,20,20,9,3,177,525,283,334,421,406,303,284,200,63,2819
SAL80075,77,42,48,50,46,16,23,12,0,314,1079,578,1001,896,675,448,516,312,123,5628
SAL80076,32,13,18,17,28,9,22,8,36,183,598,353,321,417,426,384,290,214,207,3210
SAL80077,0,44,154,103,48,14,6,5,0,374,3,45,154,103,56,16,6,10,0,393
SAL80078,16,3,10,16,16,20,18,11,0,110,346,230,206,271,290,383,342,243,67,2378
SAL80079,52,27,24,25,32,28,14,12,5,219,902,476,688,601,503,564,325,188,83,4330
SAL80080,9,0,9,9,3,0,0,0,0,30,221,73,134,167,77,17,15,4,0,708
SAL80081,78,43,54,50,48,46,59,17,6,401,1381,865,1018,1105,900,864,988,415,130,7666
SAL80082,207,123,112,120,116,87,107,34,15,921,2942,1749,1855,2131,2100,1798,2020,887,191,15673
SAL80083,48,86,219,124,83,80,61,20,6,727,565,609,1996,1202,744,685,516,217,42,6576
SAL80084,81,29,50,36,29,21,18,6,0,270,780,397,523,577,502,389,384,174,32,3758
SAL80085,32,51,58,36,14,0,3,0,0,194,353,573,1036,438,176,91,52,12,4,2735
SAL80086,42,30,82,60,32,20,28,16,13,323,647,784,1369,825,610,516,447,284,212,5694
SAL80087,40,25,31,17,22,13,17,17,8,190,548,363,621,476,408,294,211,239,109,3269
SAL80088,5,8,5,3,8,3,10,0,0,42,301,143,159,198,184,198,178,35,14,1410
SAL80089,93,36,42,73,29,29,23,10,0,335,1715,696,1126,1393,834,565,491,197,32,7049
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,38,42,50,26,22,31,12,9,4,234,508,374,540,473,354,310,275,224,60,3118
SAL80092,51,17,42,38,19,19,15,9,5,215,613,342,571,515,395,396,294,243,75,3444
SAL80093,33,24,25,13,22,22,13,4,0,156,452,320,325,324,351,414,369,132,45,2732
SAL80094,47,20,28,16,16,24,14,14,0,179,751,374,383,502,457,346,325,215,35,3388
SAL80095,3,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,8
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,40,36,20,24,38,34,29,30,23,274,988,549,631,710,636,784,646,406,281,5631
SAL80098,100,33,64,69,28,13,6,4,0,317,1597,541,1149,1227,468,190,107,32,0,5311
SAL80099,80,49,46,57,65,53,33,23,16,422,1146,716,805,934,883,790,595,356,230,6455
SAL80100,129,78,101,97,68,35,34,23,8,573,2372,1266,1963,1868,1344,944,686,409,92,10944
SAL80101,44,52,22,23,53,46,31,6,0,277,1146,944,579,724,1147,1026,711,340,61,6678
SAL80102,43,59,57,42,45,39,13,3,7,308,916,1069,932,694,864,672,485,195,89,5916
SAL80103,7,8,0,7,7,4,10,9,3,55,124,119,62,70,150,141,150,94,20,930
SAL80104,12,6,22,16,17,12,5,0,0,90,53,24,76,71,60,56,30,4,3,377
SAL80105,26,13,15,9,15,12,8,0,0,98,333,205,215,201,216,267,205,42,15,1699
SAL80106,34,23,38,27,22,21,7,13,16,201,481,294,517,403,324,236,242,304,246,3047
SAL80107,93,33,49,53,41,30,23,8,0,330,1138,641,852,878,751,647,462,170,52,5591
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,31,13,11,10,19,22,17,9,4,136,465,335,269,320,393,344,267,223,68,2684
SAL80110,22,42,102,34,37,28,17,12,0,294,579,582,1875,898,488,378,239,113,42,5194
SAL80111,4,3,0,4,3,5,0,0,0,19,23,20,3,12,27,22,11,5,5,128
SAL80112,31,30,13,22,26,24,26,7,7,186,588,491,238,360,468,414,312,152,131,3154
SAL80113,11,28,23,20,22,16,10,6,0,136,127,250,306,175,167,230,178,95,18,1546
SAL80114,50,34,31,32,22,19,17,5,0,210,613,379,471,430,403,389,262,86,24,3057
SAL80115,42,43,27,37,27,10,17,12,0,215,688,337,420,496,443,336,354,215,66,3355
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,24,21,39,27,28,19,13,8,0,179,637,329,512,513,386,268,239,145,31,3060
SAL80118,39,24,25,21,20,13,19,3,0,164,520,310,305,404,343,251,300,131,26,2590
SAL80119,31,17,17,22,12,15,3,3,10,130,378,213,205,258,291,236,288,198,134,2201
SAL80120,16,3,8,9,9,0,0,0,0,45,174,81,202,154,56,20,16,0,0,703
SAL80121,16,21,26,36,33,53,30,19,0,234,46,49,58,78,93,145,117,61,7,654
SAL80122,29,23,30,27,9,3,3,0,0,124,637,205,549,495,152,98,69,18,3,2226
SAL80123,0,0,0,0,0,5,0,0,0,5,21,3,18,6,9,14,8,0,0,79
SAL80124,42,36,27,22,30,15,11,6,0,189,726,527,565,502,540,569,262,78,22,3791
SAL80125,26,10,24,22,7,3,8,0,0,100,712,191,514,582,236,91,50,19,3,2398
SAL80126,41,25,16,19,27,22,11,7,0,168,523,294,255,338,365,269,185,151,43,2423
SAL80127,14,25,76,43,26,14,15,4,0,217,350,856,1416,649,415,337,272,131,43,4469
SAL80128,3,4,3,4,0,4,7,0,0,25,80,40,38,66,45,29,6,3,0,307
SAL80129,84,54,58,63,57,49,55,23,4,447,1561,825,1005,1141,972,954,979,357,92,7886
SAL80130,34,21,34,29,19,16,23,8,7,191,579,286,359,421,359,266,263,201,50,2784
SAL80131,60,51,60,60,34,39,16,13,0,333,1346,764,1273,1244,858,609,364,210,74,6742
SAL80132,27,11,16,12,21,16,19,10,0,132,514,372,284,357,404,291,276,219,77,2794
SAL80133,29,14,16,26,28,25,27,34,27,226,760,397,420,568,547,372,402,367,175,4008
SAL80134,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,10
SAL80135,36,16,69,27,20,8,16,3,0,195,770,424,1019,810,385,237,132,37,9,3823
SAL80136,29,24,8,12,20,23,37,22,7,182,480,325,209,344,416,463,529,268,84,3118
SAL89494,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
